Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,CLEAN_DESC,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,STANDARDIZED_DIMENSIONS,STAGE1_STATUS
49-94-0068,"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0068 Milw 14""x1/8""x20mm Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0068,49-94-0068 Milw 14 in x 1/8 in x 20mm Metal Cut Off Disc,NORMALIZED
49-94-0073,"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0073 Milw 14""x1/8""x1"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0073,"49-94-0073 Milw 14 in x 1/8 in x 1"" Metal Cut Off Disc",NORMALIZED
49-94-0101,"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0101 Milw 4-1/2""x.045""x7/8"" Perform+ Metal Cut Off Disc 10pc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0101,"49-94-0101 Milw 4-1/2 in x .045 in x 7/8"" Perform+ Metal Cut Off Disc 10pc",NORMALIZED
49-94-0107,"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0107 Milw 4-1/2""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0107,"49-94-0107 Milw 4-1/2 in x .045 in x 7/8"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0117,"49-94-0117 Milw 5""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0117 Milw 5""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0117,"49-94-0117 Milw 5 in x .045 in x 7/8"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0123,"49-94-0123 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0123 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0123,"49-94-0123 Milw 6 in x .045 in x 7/8"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0023,"49-94-0023 Milw 6""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0023 Milw 6""x.045""x7/8"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0023,"49-94-0023 Milw 6 in x .045 in x 7/8"" Metal Cut Off Disc",NORMALIZED
49-94-0121,"49-94-0121 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc 10pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0121 Milw 6""x.045""x7/8"" Performance+ Metal Cut Off Disc 10pc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0121,"49-94-0121 Milw 6 in x .045 in x 7/8"" Performance+ Metal Cut Off Disc 10pc",NORMALIZED
49-94-0127,"49-94-0127 Milw 6""x.045""x7/8"" Performance+Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0127 Milw 6""x.045""x7/8"" Performance+Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0127,"49-94-0127 Milw 6 in x .045 in x 7/8"" Performance+Metal Cut Off Disc",NORMALIZED
49-94-0137,"49-94-0137 Milw 7""x3/32""x7/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0137 Milw 7""x3/32""x7/8"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0137,"49-94-0137 Milw 7 in x 3/32 in x 7/8"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0160,"49-94-0160 Milw 14""x7/64""x1"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0160 Milw 14""x7/64""x1"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0160,"49-94-0160 Milw 14 in x 7/64 in x 1"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0223,"49-94-0223 Milw 6""x.045""x7/8"" Ceramic+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0223 Milw 6""x.045""x7/8"" Ceramic+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0223,"49-94-0223 Milw 6 in x .045 in x 7/8"" Ceramic+ Metal Cut Off Disc",NORMALIZED
49-94-0445,"49-94-0445 Milw 10""x3/32""x5/8"" Performance+ Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0445 Milw 10""x3/32""x5/8"" Performance+ Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0445,"49-94-0445 Milw 10 in x 3/32 in x 5/8"" Performance+ Metal Cut Off Disc",NORMALIZED
49-94-0803,"49-94-0803 Milw 4-1/2""x1/8""x7/8"" Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0803 Milw 4-1/2""x1/8""x7/8"" Dual Metal Cut and Grind Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0803,"49-94-0803 Milw 4-1/2 in x 1/8 in x 7/8"" Dual Metal Cut and Grind Disc",NORMALIZED
49-94-0903,"49-94-0903 Milw 4-1/2""x1/8""x7/8""Perform+Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0903 Milw 4-1/2""x1/8""x7/8""Perform+Dual Metal Cut and Grind Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0903,"49-94-0903 Milw 4-1/2 in x 1/8 in x 7/8""Perform+Dual Metal Cut and Grind Disc",NORMALIZED
49-94-0907,"49-94-0907 Milw 4-1/2""x1/8""x5/8-11""Perform+Dual Metal Cut n Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0907 Milw 4-1/2""x1/8""x5/8-11""Perform+Dual Metal Cut n Grind Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0907,"49-94-0907 Milw 4-1/2 in x 1/8 in x 5/8-11""Perform+Dual Metal Cut n Grind Disc",NORMALIZED
49-94-0923,"49-94-0923 Milw 6""x1/8""x7/8"" Perform+Dual Metal Cut and Grind Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0923 Milw 6""x1/8""x7/8"" Perform+Dual Metal Cut and Grind Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0923,"49-94-0923 Milw 6 in x 1/8 in x 7/8"" Perform+Dual Metal Cut and Grind Disc",NORMALIZED
49-94-1900,"49-94-1900 Milw 4""x1/8""x5/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1900 Milw 4""x1/8""x5/8"" Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1900,"49-94-1900 Milw 4 in x 1/8 in x 5/8"" Masonry Cut Off Disc",NORMALIZED
49-94-1905,"49-94-1905 Milw 4-1/2""x1/8""x7/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1905 Milw 4-1/2""x1/8""x7/8"" Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1905,"49-94-1905 Milw 4-1/2 in x 1/8 in x 7/8"" Masonry Cut Off Disc",NORMALIZED
49-94-1915,"49-94-1915 Milw 6-1/2""x1/8""x5/8"" DKO Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1915 Milw 6-1/2""x1/8""x5/8"" DKO Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1915,"49-94-1915 Milw 6-1/2 in x 1/8 in x 5/8"" DKO Masonry Cut Off Disc",NORMALIZED
49-94-1920,"49-94-1920 Milw 7""x1/8""x5/8"" DKO Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1920 Milw 7""x1/8""x5/8"" DKO Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1920,"49-94-1920 Milw 7 in x 1/8 in x 5/8"" DKO Masonry Cut Off Disc",NORMALIZED
49-94-1925,"49-94-1925 Milw 10""x1/8""x5/8"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1925 Milw 10""x1/8""x5/8"" Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1925,"49-94-1925 Milw 10 in x 1/8 in x 5/8"" Masonry Cut Off Disc",NORMALIZED
49-94-1935,"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1935 Milw 12""x1/8""x1"" Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1935,"49-94-1935 Milw 12 in x 1/8 in x 1"" Masonry Cut Off Disc",NORMALIZED
49-94-1940,"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1940,"49-94-1940 Milw 14 in x 1/8 in x 1"" Masonry Cut Off Disc",NORMALIZED
49-94-0501,"49-94-0501 Milw 4""x1/4""x5/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0501 Milw 4""x1/4""x5/8"" Metal Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0501,"49-94-0501 Milw 4 in x 1/4 in x 5/8"" Metal Grinding Wheel",NORMALIZED
49-94-0503,"49-94-0503 Milw 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0503 Milw 4-1/2""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0503,"49-94-0503 Milw 4-1/2 in x 1/4 in x 7/8"" Metal Grinding Wheel",NORMALIZED
49-94-0523,"49-94-0523 Milw 6""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0523 Milw 6""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0523,"49-94-0523 Milw 6 in x 1/4 in x 7/8"" Metal Grinding Wheel",NORMALIZED
49-94-1955,"49-94-1955 Milw 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1955 Milw 4-1/2""x1/4""x7/8"" Masonry Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1955,"49-94-1955 Milw 4-1/2 in x 1/4 in x 7/8"" Masonry Grinding Wheel",NORMALIZED
49-94-1965,"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-1965,"49-94-1965 Milw 7 in x 1/4 in x 7/8"" Masonry Grinding Wheel",NORMALIZED
49-94-0513,"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0513,"49-94-0513 Milw 5 in x 1/4 in x 7/8"" Metal Grinding Wheel",NORMALIZED
49-94-0533,"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0533,"49-94-0533 Milw 7 in x 1/4 in x 7/8"" Metal Grinding Wheel",NORMALIZED
DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,"Freud America, Inc.",Diablo®,DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,NORMALIZED
1700-1PK-BB40,3/4x60' Vinyl Elect Tape,-- Unbranded --,-- No Unilog Brand --,3M,3 M Co (5293),3/4x60' Vinyl Elect Tape,3 M Co,3 M Co,1700-1PK-BB40,3/4 in x 60' Vinyl Elect Tape,NORMALIZED
ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Emseal Joint Systems Ltd (EMSJO),1.5x1.5x13' Legacy Emseal Tape,Emseal Joint Systems Ltd,Emseal Joint Systems Ltd,ASH-40-40-04,1.5 in x 1.5 in x 13' Legacy Emseal Tape,NORMALIZED
KDFM404KPS,KDFM404KPS Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),KDFM404KPS Dishwasher SS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,KDFM404KPS,KDFM404KPS Dishwasher SS,NORMALIZED
PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),PDSH4816AF Dishwasher SS,Rheem Manufacturing,FRIGIDAIRE®,PDSH4816AF,PDSH4816AF Dishwasher SS,NORMALIZED
PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),PDT715SYVFS Ge Dishwasher SS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,NORMALIZED
LDPH5554D,LDPH5554D LG Dishwasher BSS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),LDPH5554D LG Dishwasher BSS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,LDPH5554D,LDPH5554D LG Dishwasher BSS,NORMALIZED
WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),WDTS7024RZ Dishwasher SS,Whirlpool Corporation,Whirlpool®,WDTS7024RZ,WDTS7024RZ Dishwasher SS,NORMALIZED
PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),PDD415PYYFS GE Dishwasher SS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,NORMALIZED
KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),KDTS424SBE Kitchen Aid Dishwasher Bk,Appliance Dealers Cooperative,Appliance Dealers Cooperative,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,NORMALIZED
KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),KDTS324SPS Kitchen Aid Dishwasher SS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,NORMALIZED
